category,job,summary,responsibilities,url
Accounting & Finance,Accountant,"Prepares and analyzes financial reports, including balance sheets, income and loss statements, and tax returns.","<ul><li> Ensure accurate and appropriate recording and analysis of revenues and expenses.</li><li> Resolve accounting discrepancies and irregularities.</li><li> Ensure accurate and appropriate recording and analysis of revenues and expenses.</li><li> Establish and monitor the implementation and maintenance of accounting control procedures.</li><li> Prepare profit and loss statements and monthly closing and cost accounting reports.</li><li> Compile and analyze financial information to prepare entries to accounts, such as general ledger accounts, and document business transactions.</li><li> Analyze financial information to recommend or develop efficient use of resources and procedures, provide strategic recommendations and maintain solutions to business and financial problems.</li><li> Explain billing invoices and accounting policies to staff, vendors and clients.</li></ul>",accountant-job-description
Accounting & Finance,Accounting Manager,Responsible for applying his or her professional knowledge and skills in the preparation and presentation of financial and other decision oriented information to assist management in the formulation of policies and in the planning. Responsible for managing the business team and having to report relationships and responsibilities to the corporation's finance organization.,"<ul><li> Record and analyze the company's financial information. </li><li> Involved in the strategic planning or the development of new products. </li><li> Analyze and interpret financial information that corporate executives need in order to make sound business decisions. </li><li> Prepare financial reports for other groups, including stock holders, creditors, regulatory agencies, and tax authorities. </li><li> Review and monitor costs inherent in the business. </li><li> Financial forecasting and planning. </li><li> Perform variance analysis.</li></ul>",accounting-manager-job-description
Accounting & Finance,Appraiser,"Responsible for determining the monetary value of merchandise, property, or business assets for a company, including real estate and other assets.","<ul><li> Perform detailed inspections on property to determine value, factoring in dates, quality, and age of property. </li><li> Use data such as incorporating cost, market and income approaches to property valuation.  </li><li> Produce written appraisals for clients, government agencies, or companies </li><li> Compile research in detailed reports </li><li> Correctly identify discrepancies between the property’s description and its actual state. </li><li> Demonstrate ability to analyze a problem coherently and provide precautionary advice before a purchase </li><li> Work on a client-to-client basis, making appraisals for a variety of reasons.</li></ul>",appraiser-job-description
Accounting & Finance,Assessor,"Responsible for determining taxability and value of properties using methods such as field inspection, structural measurement, calculation, sales analysis, market trend studies, and income and expense analysis.","<ul><li> Inspect properties, considering factors such as market value, location, and building or replacement costs to determine appraisal value. </li><li> Inspect new construction and major improvements to existing structures in order to determine values. </li><li> Evaluate multiple properties or entire neighborhoods using common procedures. </li><li> Use maps to obtain an accurate perspective on the property and buildings surrounding a property. </li><li> Verify the correctness of property revaluations, which are conducted cyclically in jurisdictions. </li><li> Apply knowledge of tax assessment techniques and computer software to analyze numerous properties at once. </li><li> Write detailed reports on research and observations, stating the value of the property as well as the precise reasoning and methodology of estimate.</li></ul>",assessor-job-description
Accounting & Finance,Auditor,"Responsibe for Collecting and analyzing data to detect errors, deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies. Analyzes and verifies annual company reports and financial statements.","<ul><li> Analyze sources to find out whether a company's records presents its true financial situation.</li><li> Examine and evaluate the financial system of their firm to ensure that it is being run efficiently and economically.</li><li> Compare the company's books with the records of the banks, brokers, creditors, and others who deal with the company. </li><li> Review data about material assets, net worth, liabilities, capital stock, surplus, income, and expenditures.</li><li> Evaluate taxpayer finances to determine tax liability.</li><li> Check the company's bookkeeping and accounting methods by analyzing its books and records. </li><li> Compose objective analyses and reports with the intent to increase profit and save on taxes. </li><li> Recommend controls to ensure system reliability and data integrity. </li><li> Gather with company officials to discuss financial and regulatory matters.</li></ul>",auditor-job-description
Accounting & Finance,Banker,Responsible for performing banking duties and overseeing the financial activities for personal or business accounts. Provide advice to clients on how to manage and balance the risk and return of money.,"<ul><li> Help clients manage their money in order to balance risk and return. </li><li> Process account transactions. </li><li> Manage high net worth accounts. </li><li> Advise clients on best investment option and give directions about stock market activities. </li><li> Process loan documents. </li><li> Help individuals or businesses raise funds to purchase assets. </li><li> Help negotiate agreements pertaining to mergers, acquisitions, or other sales. </li><li> Maintain good client relations. </li><li> Implement new products, services, and processes. </li><li> Deal with client and customer complaints.</li></ul>",banker-job-description
Accounting & Finance,Banking Analyst,Responsible for analyzing companies' annual results to assist in the making of sound investment decisions.,"<ul><li> Prepare complex financial analyses and models to aid in investment decisions. </li><li> Identify potential markets and market trends. </li><li> Conduct due diligence investigations of client companies. </li><li> Research price, distribution and other transactions and make suggestions for the company to improve revenue. </li><li> Research and structure transactions and price and distribute securities. </li><li> Support the preparation of detailed memoranda and presentations describing the key attributes of client companies. </li><li> Research potential buyers/investors. </li><li> Participate in marketing events for the company, make client presentations, and prepare entire marketing strategies.</li></ul>",banking-analyst-job-description
Accounting & Finance,Banking Manager,"Responsible for the day-to-day duties of managing a banking branch. Oversees the sales, operations, and business development within the branch, including profits and productivity.","<ul><li> Supervise activities of the branch. </li><li> Bring in new customers and boosts profits </li><li> Create and analyze management information and reports. </li><li> Coordinate activities among different branches all over the country. </li><li> Help make policies.  </li><li> Set targets and ensure they are met. </li><li> Train and supervise staff. </li><li> Hire and terminate staff according to needs. </li><li> Interact with local chambers of commerce, development agencies, solicitors, accountants. </li><li> Handle customer complaints. </li><li> Market and publicize new and existing products and services introduced by the bank. </li><li> Follow all banking polices as determined by the board of directors or owners of the bank.</li></ul>",banking-manager-job-description
Accounting & Finance,Bookkeeper,"Responsible for handling the fundamental aspects of a firm's financial recordkeeping, including recording financial transactions, managing accounts payable and receivable, reconciling bank statements, and completing annual tax forms.","<ul><li> Prepare financial statements and reports, including the profit and loss statement and balance sheet </li><li> Assist with budget preparations </li><li> Pay bills and maintain ledgers </li><li> Receive, approve, and/or decline client invoices </li><li> Keep track of client assets. </li><li> Assist accountants with tax return preparation. </li><li> Code payables for accounts payable clerks to input. </li><li> Make bank deposits and receipts of money. </li><li> Reconcile bank account and distribute money within departments </li><li> Assure expenditures are in accordance with code balances for item acquisition. </li><li> Conduct invoice activities and pay vendors for delivered materials. </li><li> Provide inventory support, including maintaining office materials and supplies. </li><li> Receive requests for materials and equipment and prepare purchase orders accordingly. </li><li> Transmit purchase orders directly to vendors for purchases. </li><li> Generate 1099's and W-2's. </li><li> Prepare appropriate schedules and reports as requested by clients and partners.</li></ul>",bookkeeper-job-description
Accounting & Finance,Budget Analyst,Responsible for consolidating data for the presentation of budgets and providing an overview of the financial status of operations. Maintains accounting records and identifies trends that may help or hurt a company.,"<ul><li> Develop, analyze, and execute budgets. </li><li> Evaluate the relationships between major program changes and the financial status of organizations. </li><li> Ensure there are adequate funds for programs within the organization. </li><li> Employ cost-benefit analysis to review financial requests, assess program tradeoffs, and explore alternative funding methods. </li><li> Provide financial advice to management officials. </li><li> Provide leadership for budget preparation, formulation, presentation, and execution. </li><li> Efficiently allocate limited financial resources. </li><li> Examine past budgets. </li><li> Estimate future financial needs. </li><li> Consolidate individual departmental budgets into operating and capital budget summaries. </li><li> Evaluate the performance of a program and adjust funding if necessary. </li><li> Draft budget-related legislation. </li><li> Conduct training regarding budget procedures.</li></ul>",budget-analyst-job-description
