city_name,dong_count,voting_area_count,people,voting_people,disabled_people,family_count
합계,241,615,"1,874,344","1,482,705","48,686","760,026"
전주시완산구,18,82,"364,260","278,177","8,887","136,987"
전주시덕진구,15,65,"285,186","217,882","6,489","108,172"
군산시,27,82,"278,575","218,525","6,756","111,396"
익산시,29,84,"306,802","240,720","7,474","121,059"
정읍시,23,50,"119,542","96,684","3,213","51,694"
남원시,23,33,"87,043","70,013","2,790","36,680"
김제시,19,39,"92,445","77,460","2,410","41,559"
완주군,13,33,"86,068","68,612","1,592","35,758"
진안군,11,13,"27,016","22,842","1,004","12,433"
무주군,6,13,"25,336","21,315",752,"11,398"
장수군,7,11,"23,139","19,508",890,"10,454"
임실군,12,19,"30,009","25,858","1,078","13,911"
순창군,11,18,"29,743","24,947","1,362","13,236"
고창군,14,33,"60,065","50,414","2,029","27,853"
부안군,13,40,"59,115","49,748","1,960","27,436"
